# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 10, mean observations per image: 0.0
1 0.9924167317716552 -0.09607521349781663 -0.07644740632056238 0.005863268531639881 0.14832042 0.12242968 0.17269094 1 frame_00001.png

2 0.9969321676196441 -0.0779928780349331 0.004157187302805634 0.005107047557619462 -0.33812988 0.094407216 0.027602617 2 frame_00036.png

3 0.9822215852466023 -0.08002070221714919 0.16727445571045685 0.02926945778615456 -0.86816806 0.070617035 0.08815479 3 frame_00069.png

4 0.9400940134706626 -0.0894340825389126 0.325566455794603 0.04723635864866857 -1.3412787 0.02298819 0.31737962 4 frame_00103.png

5 0.8818173707714306 -0.09021395292014096 0.4598811889345048 0.052619952189928654 -1.5821383 0.0019105673 0.5360296 5 frame_00136.png

6 0.9053681401794261 -0.04362464509999627 0.41826470791452336 0.05882223390117812 -1.5446211 -0.04389049 0.44019693 6 frame_00171.png

7 0.97377167866831 -0.028432037430255616 0.22479494782299952 0.020677729670385264 -1.1530303 -0.004698756 0.17308852 7 frame_00204.png

8 0.9891320781920356 -0.014736334739500348 0.14461220987582143 0.022088030350880833 -0.59564245 -0.019313237 0.08128673 8 frame_00238.png

9 0.9999112549488968 -0.006184182098102423 -0.010562331954149864 -0.005260728275639881 0.0 0.0 0.0 9 frame_00271.png

10 0.9812129149392124 -0.07901263096681911 -0.17118774061457456 -0.04090204356108498 0.4203056 0.0034274275 0.22005695 10 frame_00306.png

