# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 12, mean observations per image: 0.0
1 0.8249321310516896 -0.006953612990959364 -0.5650188675197879 -0.013867435651410312 -1.6613661 -0.019648755 1.5340635 1 000000.png

2 0.8340320075583946 -0.009837298556351386 -0.5514843684924344 -0.01260274707069359 -1.6095617 -0.0038250373 1.4709392 2 000010.png

3 0.8778397148679568 -0.010716789997560294 -0.47858143237433615 -0.015569136110297263 -1.3325342 -0.008429669 1.3522809 3 000021.png

4 0.9487223169352833 -0.02870986092786532 -0.31479991254649675 -0.0016505439008776936 -0.8979423 -0.057303112 1.0970252 4 000031.png

5 0.9917520429126565 -0.01265125945002546 -0.12687794390516324 0.013031437499346927 -0.3587621 -0.037381068 0.6795185 5 000042.png

6 0.9997203275981745 -0.005677879384354545 0.013014772098446425 0.018911477465303566 0.0 0.0 0.0 6 000052.png

7 0.9904312078904487 -0.002303809488144652 0.1364537567534897 0.020520408533169106 -0.10531992 -0.004363699 -0.8873549 7 000063.png

8 0.9784108704466459 -0.00665158679982845 0.20498149920366332 0.02550509692394539 -0.23422894 -0.003341768 -1.5123035 8 000073.png

9 0.9667010660909827 -0.003706953175557126 0.2539964226636947 0.03100200946321457 -0.3589139 0.02960477 -1.9507713 9 000083.png

10 0.9609994080985976 -0.0005572395988475471 0.27451733728211014 0.033467277297605014 -0.43490684 0.056592185 -2.4641113 10 000094.png

11 0.9579125618950822 0.005827756489798398 0.2848627594803639 0.034968118038119306 -0.48231795 0.13794328 -2.8921964 11 000104.png

12 0.9553927688978033 0.0018976334628372587 0.29380122826201577 0.03003155668227193 -0.5623108 0.08993622 -3.5995789 12 000115.png

