# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 19, mean observations per image: 0.0
1 0.6462746907350437 -0.02873735144657021 -0.7574868757676733 -0.08784544260739846 -8.413781 0.6535148 -1.166435 1 000000.png

2 0.6652815906371767 -0.028585164908609784 -0.7414882840842523 -0.08233114885756995 -8.465979 0.5632788 -0.80155694 2 000011.png

3 0.7067973844510826 -0.0328626198766131 -0.7037950365708785 -0.06348269091767755 -8.623378 0.52331436 0.9490159 3 000022.png

4 0.8404857301166532 -0.0694787815058012 -0.5365042060303005 -0.030326115849921235 -7.5447845 0.5359405 3.8529983 4 000033.png

5 0.9220730628090097 -0.027936947810647816 -0.3860049729161424 0.0009770737156229348 -5.3630366 -0.14739753 5.7502675 5 000044.png

6 0.9669529218283279 -0.02546470787239573 -0.2532961014588917 0.013952799230283619 -3.2645745 -0.14810884 6.1791573 6 000055.png

7 0.9889828642945081 -0.0282342214741775 -0.14352348629116107 0.02273173447866209 -1.7955118 -0.1121935 5.7881923 7 000066.png

8 0.9960227144839314 -0.02913667051265092 -0.0810393724462248 0.022856657170724663 -1.0166668 -0.057019953 5.3219614 8 000077.png

9 0.9990217782822398 -0.01796120347453061 -0.03142884663836537 0.025399001683532273 -0.425298 -0.095097065 4.916157 9 000087.png

10 0.9993971834612588 -0.01985740045828383 -0.01111592168955496 0.026218116288831746 -0.2518178 -0.1099727 4.18923 10 000099.png

11 0.9994702819876925 -0.011622023545119466 -0.0033319397106821437 0.030215594813337552 -0.1463446 -0.097445935 3.5714161 11 000110.png

12 0.9994926913173569 -0.013446375951492878 0.0012096495194489842 0.028846000155964953 -0.10845704 -0.083434574 2.8775282 12 000120.png

13 0.9994224031185117 -0.017541106716480636 0.00944775819911173 0.027530157736410845 -0.020146558 -0.084490135 1.8522301 13 000132.png

14 0.9993302850062287 -0.018320630971775134 0.013167491671518273 0.02880890683879555 -0.012084974 -0.041489244 1.0141188 14 000142.png

15 0.9991580940241014 -0.017533990358272713 0.015562385574092936 0.033667112788068033 0.0 0.0 0.0 15 000153.png

16 0.9991846889296534 -0.018320032539553256 0.014963465082345575 0.03271740406925282 0.0041140425 0.070185475 -1.1248856 16 000165.png

17 0.9990386385515243 -0.021679921462920287 0.017822948640854798 0.03367673066412896 0.004552562 0.043839328 -2.403247 17 000175.png

18 0.9989639550710532 -0.02128789975704685 0.025402877001862473 0.031185503567544733 -0.032282807 0.083944604 -3.5759933 18 000186.png

19 0.9985968096512743 -0.016448865280857174 0.03922452913925594 0.03154810452423684 -0.15012242 0.16835827 -4.9245195 19 000198.png

